Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 SMILES,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,index_waters,Output Value
bm20221014,24,25,,24,B,5,2-Phenylquinoline-4-carboxylic acid,O=C(C1=C2C=CC=CC2=NC(C3=CC=CC=C3)=C1)O,0.1,4-ethyl diazonium,N#[N+]C(C=C1)=CC=C1C(OCC)=O.FB(F)F.[F-],0.2,cc,O=C(OCC)C1=CC=C(C2=CC(C3=CC=CC=C3)=NC4=CC=CC=C42)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,B5,0.0557
bm20221014,24,25,,24,B,6,Anthraquinone-2-carboxylic Acid,O=C(C1=C2C=CC=CC2=NC(C3=CC=CC=C3)=C1)O,0.1,4-ethyl diazonium,N#[N+]C(C=C1)=CC=C1C(OCC)=O.FB(F)F.[F-],0.2,cc,O=C(OCC)C1=CC=C(C(C=C2C3=O)=CC=C2C(C4=C3C=CC=C4)=O)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,B6,0
bm20221014,24,25,,24,C,1,isonicotinic acid,O=C(O)C1=CC=NC=C1,0.1,4-biphenyl diazonium,FB(F)F.N#[N+]C1=CC=C(C2=CC=CC=C2)C=C1.[F-],0.2,cc,C1(C(C=C2)=CC=C2C3=CC=CC=C3)=CC=NC=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,C1,0
bm20221014,24,25,,24,C,2,quinaldic acid,O=C(O)C1=NC2=CC=CC=C2C=C1,0.1,4-biphenyl diazonium,FB(F)F.N#[N+]C1=CC=C(C2=CC=CC=C2)C=C1.[F-],0.2,cc,C1(C2=NC3=CC=CC=C3C=C2)=CC=C(C4=CC=CC=C4)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,C2,0.0472
bm20221014,24,25,,24,C,3,4-quinoline carboxylic acid,O=C(C1=CC=NC2=CC=CC=C12)O,0.1,4-biphenyl diazonium,FB(F)F.N#[N+]C1=CC=C(C2=CC=CC=C2)C=C1.[F-],0.2,cc,C1(C2=CC=NC3=CC=CC=C32)=CC=C(C4=CC=CC=C4)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,C3,0.0631
bm20221014,24,25,,24,C,4,isoquinoline-1-carboxylic acid,O=C(C1=NC=CC2=C1C=CC=C2)O,0.1,4-biphenyl diazonium,FB(F)F.N#[N+]C1=CC=C(C2=CC=CC=C2)C=C1.[F-],0.2,cc,C1(C2=NC=CC3=CC=CC=C32)=CC=C(C4=CC=CC=C4)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,C4,0.1913
bm20221014,24,25,,24,C,5,2-Phenylquinoline-4-carboxylic acid,O=C(C1=C2C=CC=CC2=NC(C3=CC=CC=C3)=C1)O,0.1,4-biphenyl diazonium,FB(F)F.N#[N+]C1=CC=C(C2=CC=CC=C2)C=C1.[F-],0.2,cc,C1(C2=CC(C3=CC=CC=C3)=NC4=CC=CC=C42)=CC=C(C5=CC=CC=C5)C=C1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,C5,0.0722
bm20221014,24,25,,24,C,6,Anthraquinone-2-carboxylic Acid,O=C(C1=C2C=CC=CC2=NC(C3=CC=CC=C3)=C1)O,0.1,4-biphenyl diazonium,FB(F)F.N#[N+]C1=CC=C(C2=CC=CC=C2)C=C1.[F-],0.2,cc,O=C(C1=CC=C(C2=CC=C(C3=CC=CC=C3)C=C2)C=C1C4=O)C5=C4C=CC=C5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,C6,0
bm20221014,24,25,,24,D,1,isonicotinic acid,O=C(O)C1=CC=NC=C1,0.1,sulfadoxin diazonium,O=S(NC(N=CN=C1OC)=C1OC)(C2=CC=C([N+]#N)C=C2)=O.FB(F)F.[F-],0.2,cc,O=S(NC1=C(OC)C(OC)=NC=N1)(C2=CC=C(C3=CC=NC=C3)C=C2)=O,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,D1,0
bm20221014,24,25,,24,D,2,quinaldic acid,O=C(O)C1=NC2=CC=CC=C2C=C1,0.1,sulfadoxin diazonium,O=S(NC(N=CN=C1OC)=C1OC)(C2=CC=C([N+]#N)C=C2)=O.FB(F)F.[F-],0.2,cc,O=S(NC1=C(OC)C(OC)=NC=N1)(C2=CC=C(C3=NC4=CC=CC=C4C=C3)C=C2)=O,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,D2,0.0467
bm20221014,24,25,,24,D,3,4-quinoline carboxylic acid,O=C(C1=CC=NC2=CC=CC=C12)O,0.1,sulfadoxin diazonium,O=S(NC(N=CN=C1OC)=C1OC)(C2=CC=C([N+]#N)C=C2)=O.FB(F)F.[F-],0.2,cc,O=S(NC1=C(OC)C(OC)=NC=N1)(C2=CC=C(C3=CC=NC4=CC=CC=C43)C=C2)=O,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,D3,0
bm20221014,24,25,,24,D,4,isoquinoline-1-carboxylic acid,O=C(C1=NC=CC2=C1C=CC=C2)O,0.1,sulfadoxin diazonium,O=S(NC(N=CN=C1OC)=C1OC)(C2=CC=C([N+]#N)C=C2)=O.FB(F)F.[F-],0.2,cc,O=S(NC1=C(OC)C(OC)=NC=N1)(C2=CC=C(C3=NC=CC4=CC=CC=C43)C=C2)=O,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,D4,0.1145
bm20221014,24,25,,24,D,5,2-Phenylquinoline-4-carboxylic acid,O=C(C1=C2C=CC=CC2=NC(C3=CC=CC=C3)=C1)O,0.1,sulfadoxin diazonium,O=S(NC(N=CN=C1OC)=C1OC)(C2=CC=C([N+]#N)C=C2)=O.FB(F)F.[F-],0.2,cc,O=S(NC1=C(OC)C(OC)=NC=N1)(C2=CC=C(C3=CC(C4=CC=CC=C4)=NC5=CC=CC=C53)C=C2)=O,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,D5,0.0234
bm20221014,24,25,,24,D,6,Anthraquinone-2-carboxylic Acid,O=C(C1=C2C=CC=CC2=NC(C3=CC=CC=C3)=C1)O,0.1,sulfadoxin diazonium,O=S(NC(N=CN=C1OC)=C1OC)(C2=CC=C([N+]#N)C=C2)=O.FB(F)F.[F-],0.2,cc,O=S(NC1=C(OC)C(OC)=NC=N1)(C2=CC=C(C(C=C3C4=O)=CC=C3C(C5=C4C=CC=C5)=O)C=C2)=O,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Methanol.DMSO,CS(=O)C.CO,100,none,0,UPLCMS,D6,0
